م,التخصص,عنوان الفرصة البحثية,المقاعد الكلية,المقاعد المتبقية
1,الجراحة العامة – General Surgery,Robotic versus open ventral hernia repair (ROVHR): A Systematic Review and Meta-Analysis of RCT,12,1
2,اورثوا – Orthodontist,The Clinical Efficacy and Stability of Skeletal Anchorage Devices in Managing Class II Malocclusion: A Systematic Review and Meta-Analysis,12,1
3,باطنة قلبية – Internal Medicine Cardiology,Efficacy and safety of low-dose digoxin in patients with heart failure: A Systematic Review and Meta-analysis of RCTs,12,2
4,جراحة المخ والأعصاب – Neurosurgery,Endoscopic vs Microscopic Transsphenoidal Surgery for Pituitary Adenomas,12,1
5,جراحة تجميل – Plastic Surgery,Autologous Fat Grafting for Optimization of Breast Reconstruction Outcomes: A Meta-analysis of Comparative Studies,12,1
6,مختبرات – Laboratory,Diagnostic Accuracy of Automated Digital Morphology and Machine Learning for Peripheral Blood Smear Analysis in Hematological Malignancies: A Systematic Review and Meta-Analysis,12,1
7,تخدير وعناية حرجة – Anesthesiology and Critical Care Medicine,Remimazolam versus Conventional Sedatives for Mechanically Ventilated ICU Patients: A Network Meta-analysis,12,5
8,طوارئ – Emergency Medicine,Acute Pain in the Emergency Department: A Systematic Review and Meta-analysis of RCTs,12,6
9,عصب وجذور أسنان – Endodontics,Clinical Effectiveness of Sealer-Based Single-Cone Obturation with Hydraulic Calcium Silicate Sealers versus Warm Vertical Compaction in Nonsurgical Root Canal Treatment: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,12,8
10,طب اسنان الأسرة – Family Dentistry,Prevention of Occlusal Caries in Children and Adolescents: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,12,10
11,باطنة هضمي – Gastroenterology,Efficacy and Safety of Vedolizumab Combined With Upadacitinib in Patients With Ulcerative Colitis: A Systematic Review and Meta-analysis of RCTs,12,6
12,معلوماتية صحية – Health Informatics,Impact of Algorithmic Bias in AI-Based Clinical Decision Support Systems on Health Equity: A Systematic Review and Meta-Analysis,12,1
13,أمراض دم – Hematology,CPX-351 versus Standard 7+3 Chemotherapy in High-Risk Acute Myeloid Leukemia: A Systematic Review and Meta-analysis of RCTs,12,7
14,باطنة + طب الأسرة – Internal Medicine + Family Medicine,T1D under automated insulin delivery (AID) control – م1,12,2
15,باطنة + طب الأسرة – Internal Medicine + Family Medicine,T1D under automated insulin delivery (AID) control – م2,12,2
16,طب الأعصاب – Neurology,Ocrelizumab versus Rituximab in Relapsing-Remitting Multiple Sclerosis: A Systematic Review and Meta-analysis,12,1
17,جراحة السمنة – Obesity Surgery,Comparative Efficacy and Metabolic Outcomes of Bariatric Surgery Versus Novel Incretin-Based Therapies (GLP-1/GIP) in Severe Obesity: A Systematic Review and Meta-Analysis,12,11
18,نساء وتوليد – Obstetrics and Gynecology,Low-Dose versus High-Dose Misoprostol Regimens for Induction of Labor: A Systematic Review and Meta-analysis of Randomized Controlled Trials,12,7
19,جراحة عيون – Ophthalmology,Conjunctival Autografts in Primary Pterygium Surgery,12,8
20,جراحة وجه وفكين – Oral and Maxillofacial Surgery,Custom-Made 3D-Printed PEEK versus Titanium Plates for Mandibular Fracture Fixation: A Systematic Review and Meta-Analysis of Comparative Clinical Studies,12,4
21,أشعة عظام – Orthopedic Radiology,Deep Learning for Opportunistic Detection of Osteoporosis and Vertebral Fractures on Routine CT: A Systematic Review and Meta-Analysis of Diagnostic Accuracy Against DXA and Radiologist Reference Standards,12,5
22,جراحة العظام – Orthopedic Surgery,Biological Augmentation Strategies in Arthroscopic Double-Row Rotator Cuff Repair: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,12,1
23,طب أطفال – Pediatrics,Efficacy and Safety of SGLT2 Inhibitors versus Standard Care in Children and Adolescents with Chronic Kidney Disease: A Systematic Review and Meta-analysis,12,1
24,أسنان أطفال – Pedodontics,Nanosilver Fluoride versus 38% Silver Diamine Fluoride for Arresting Caries in Primary Teeth: A Systematic Review and Meta-Analysis,12,2
25,أمراض وجراحة اللثة – Periodontics,Platelet-Rich Fibrin (PRF) + Open Flap Debridement versus Open Flap Debridement Alone for Intrabony Defects,12,1
26,الطب النفسي – Psychiatry,"Safety, Tolerability, and Efficacy of Evenamide for Patients with Chronic Schizophrenia: A Systematic Review and Meta-analysis",12,7
27,ترميم أسنان – Restorative Dentistry,Restorative Alternatives in Posterior Permanent Teeth,12,6
28,روماتيزم – Rheumatology,Efficacy and Safety of Upadacitinib versus Adalimumab in Patients with Moderate-to-Severe Rheumatoid Arthritis: A Systematic Review and Meta-analysis of Randomized Controlled Trials,12,5
29,مسالك بولية – Urology,Metastasis-Directed Therapy Versus Systemic Therapy Alone in PSMA-PET–Defined Oligometastatic Hormone-Sensitive Prostate Cancer: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,12,8
30,صدرية / أشعة – Pulmonology / Radiology,Diagnostic Efficiency and Lung Nodule Misclassification Rates of Ultra-Low-Dose CT (ULDCT) with Deep Learning Reconstruction vs. Standard-Dose Low-Dose CT (LDCT) for Lung Cancer Screening: A Systematic Review,12,6
31,مسالك بولية / أشعة – Urology / Radiology,Comparative Diagnostic Performance of Multiparametric MRI (mpMRI) vs. 68Ga-PSMA PET/MRI for Local Staging and Extraprostatic Extension in Primary Prostate Cancer: A Meta-Analysis,12,5
32,جراحة عظام – Orthopedic Surgery,Efficacy of Local Absorbable Antibiotic-Loaded Bio-Carriers in Preventing Fracture-Related Infections (FRI) Following Fixation of Complex Extremity Trauma: A Systematic Review and Meta-Analysis,12,7
33,باطنة قلبية – Cardiology,Efficacy and Safety of Non-Steroidal Mineralocorticoid Receptor Antagonists (Finerenone) in Patients with Heart Failure and Preserved Ejection Fraction (HFpEF): A Systematic Review,12,6
34,جلدية – Dermatology,Dermatologic and Sexually Transmitted Diseases During Pregnancy and Their Impact on Fetal Outcomes: A Systematic Review,12,5
35,تعقيم – CSSD,Impact of Sterilization Process Quality and Instrument Reprocessing Compliance on Surgical Site Infection Rates: A Systematic Review,12,8
36,أورام – Oncology,Differentiating Glioblastoma Progression from Treatment Effects Under RANO 2.0 Criteria: A Comparative Meta-Analysis of Multimodal Imaging Performance Across Molecular Subtypes,12,7
37,أشعة – Radiology,Value of Arterial Spin Labeling (ASL) Perfusion MRI vs. Exogenous Contrast-Based Perfusion Methods in Distinguishing Glioblastoma True Progression from Radiation Necrosis: A Systematic Review and Meta-Analysis,12,5
38,غدد صماء + طب أسرة – Endocrinology + Family Medicine,Dual Incretin Receptor Agonists for Pancreatic Beta-Cell Preservation and Glycemic Durability in Early Type 2 Diabetes: A Systematic Review and Meta-Analysis,12,6
39,نساء وولادة وغدد صماء – Obstetrics & Endocrinology,The Relationship Between Environmental Endocrine Disruptors and Early Onset Thyroid Dysfunction in Women of Reproductive Age: A Systematic Review,12,5
40,جراحة مخ وأعصاب – Neurosurgery,Effect of Intervention Timing in Minimally Invasive Hematoma Evacuation Versus Open Craniotomy for Spontaneous Intracerebral Hemorrhage: A Systematic Review and Meta-Analysis,12,6
41,باطنة قلبية – Cardiology,Appetite Hormone Agonists in Heart Failure with Reduced Ejection Fraction: A Meta-Analysis of Randomized Controlled Trials,12,5
42,جراحة عيون – Ophthalmology,Comparative Efficacy and Safety of 63 µm versus 45 µm Gelatin Microstents in Open-Angle Glaucoma: A Systematic Review and Meta-Analysis,12,6
43,مسالك بولية – Urology,Comparative Diagnostic Accuracy of 68Ga-PSMA vs. 18F-Fluciclovine PET/CT for Detecting Early Biochemical Recurrence of Prostate Cancer at Low PSA Levels (<0.5 ng/mL): A Head-to-Head Evidence Synthesis,12,6
44,جراحة الجهاز الهضمي والكبد والبنكرياس – HPB Surgery,Minimally Invasive versus Open Pancreaticoduodenectomy in Elderly Patients (≥70 years): A Systematic Review and Meta-Analysis of Perioperative and Oncological Outcomes,12,5*
45,جلدية – Dermatology,Efficacy and Safety of Topical Metformin for Melasma: A Systematic Review and Meta-Analysis,12,3
