م,التخصص,عنوان الفرصة البحثية,المقاعد الكلية,المقاعد المتبقية
1,الجراحة العامة – General Surgery,Robotic versus open ventral hernia repair (ROVHR): A Systematic Review and Meta-Analysis of RCT,12,1
2,اورثوا – Orthodontist,The Clinical Efficacy and Stability of Skeletal Anchorage Devices in Managing Class II Malocclusion: A Systematic Review and Meta-Analysis,12,1
3,باطنة قلبية – Internal Medicine Cardiology,Efficacy and safety of low-dose digoxin in patients with heart failure: A Systematic Review and Meta-analysis of RCTS,12,2
4,جراحة المخ والأعصاب – Neurosurgery,Endoscopic vs Microscopic Transsphenoidal Surgery for Pituitary Adenomas,12,1
5,جراحة تجميل – Plastic Surgery,Autologous Fat Grafting for Optimization of Breast Reconstruction Outcomes: A Meta-analysis of Comparative Studies,12,1
6,مختبرات – Laboratory,Diagnostic Accuracy of Automated Digital Morphology and Machine Learning for Peripheral Blood Smear Analysis in Hematological Malignancies: A Systematic Review and Meta-Analysis,12,1
7,تخدير وعناية حرجة – Anesthesiology and Critical Care Medicine,Remimazolam versus Conventional Sedatives for Mechanically Ventilated ICU Patients: A Network Meta-analysis,12,5
8,طوارئ – Emergency Medicine,Acute Pain in the Emergency Department: A Systematic Review and Meta-analysis of RCTs,12,6
9,عصب وجذور أسنان – Endodontics,Clinical Effectiveness of Sealer-Based Single-Cone Obturation with Hydraulic Calcium Silicate Sealers versus Warm Vertical Compaction in Nonsurgical Root Canal Treatment: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,12,8
10,طب اسنان الأسرة – Family Dentistry,Prevention of Occlusal Caries in Children and Adolescents: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,12,10
11,باطنة هضمي – Gastrointestinalogy,Efficacy and Safety of Vedolizumab Combined With Upadacitinib in Patients With Ulcerative Colitis: A Systematic Review and Meta-analysis of RCTs,12,6
12,معلوماتية صحية – Health Informatics,Impact of Algorithmic Bias in Al-Based Clinical Decision Support Systems on Health Equity: A Systematic Review and Meta-Analysis,12,1
13,أمراض دم – Hematology,CPX-351 versus Standard 7+3 Chemotherapy in High-Risk Acute Myeloid Leukemia: A Systematic Review and Meta-analysis of RCTs,12,7
14,باطنة + طب الأسرة – Internal Medicine + Family Medicine,T1D under automated insulin delivery (AID) control – م1,12,2
15,باطنة + طب الأسرة – Internal Medicine + Family Medicine,T1D under automated insulin delivery (AID) control: T1D under automated insulin delivery (AID) control: – م2,12,2
16,طب الأعصاب – Neurology,Ocrelizumab versus Rituximab in Relapsing-Remitting Multiple Sclerosis: A Systematic Review and Meta-analysis,12,1
17,جراحة السمنة – Obesity Surgery,Comparative Efficacy and Metabolic Outcomes of Bariatric Surgery Versus Novel Incretin-Based Therapies (GLP-1/GIP) in Severe Obesity: A Systematic Review and Meta-Analysis,12,11
18,نساء وتوليد – Obstetrician and Gynecologist,Low-Dose versus High-Dose Misoprostol Regimens for Induction of Labor: A Systematic Review and Meta-analysis of Randomized Controlled Trials,12,7
19,جراحة عيون – Ophthalmology,of Conjunctival Autografts in Primary Pterygium Surgery,12,8
20,جراحة وجه وفكين – Oral and Maxillofacial Surgery,Custom-Made 3D-Printed PEEK versus Titanium Plates for Mandibular Fracture Fixation: A Systematic Review and Meta-Analysis of Comparative Clinical Studies,12,4
21,أشعة عظام – Orthopedic Radiology,Deep Learning for Opportunistic Detection of Osteoporosis and Vertebral Fractures on Routine CT: A Systematic Review and Meta-Analysis of Diagnostic Accuracy Against DXA and Radiologist Reference Standards,12,5
22,جراحة العظام – Orthopedic Surgery,Biological Augmentation Strategies in Arthroscopic Double-Row Rotator Cuff Repair: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,12,1
23,طب أطفال – Pediatric,Efficacy and Safety of SGLT2 Inhibitors versus Standard Care in Children and Adolescents with Chronic Kidney Disease: A Systematic Review and Meta-analysis,12,1
24,اسنان أطفال – Pedodontics,Nanosilver Fluoride versus 38% Silver Diamine Fluoride for Arresting Caries in Primary Teeth: A Systematic Review and Meta-Analysis,12,2
25,أمراض وجراحة اللثة – Periodontics,Platelet-Rich Fibrin (PRF) + Open Flap Debridement versus Open Flap Debridement Alone for Intrabony Defects,12,1
26,الطب النفسي – Psychiatric Medicine,"Safety, Tolerability, and Efficacy of evenamide For patients with Chronic Schizophrenia: A Systematic Review and Meta-analysis",12,7
27,ترميم اسنان – Restorative Dentistry,Restorative Alternatives in Posterior Permanent Teeth,12,6
28,روماتيزم – Rheumatology,Efficacy and Safety of Upadacitinib versus Adalimumab in Patients with Moderate-to-Severe Rheumatoid Arthritis: A Systematic Review and Meta-analysis of Randomized Controlled Trials,12,5
29,مسالك بولية – Urology,Metastasis-Directed Therapy Versus Systemic Therapy Alone in PSMA-PET–Defined Oligometastatic Hormone-Sensitive Prostate Cancer: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,12,8
